CodigoVenda,CodigoProduto,Descricao,Quantidade,ValorUnitario,ValorTotal
209,1159,AMANCO CONECT MANGUEIRA ER 1/2 LJ,1.0,10.9,10.9
209,5,MANG TRAN SIL VERD 1/2X2MM 200M FAMASTIL,20.0,5.2,104.0
209,1150,AMANCO CONECT TORN 1/2 E 3/4 LJ,2.0,9.0,18.0
211,584,AMANCO TUBO SOLD 50MM 6M,3.0,105.0,315.0
211,586,AMANCO TUBO SOLD 32MM 6M,3.0,73.9,221.7
212,805,PREGO C/CABECA 17X27,1.0,25.841,25.841
213,344,LUVA ALGODAO C/PIGMEN. BR 9,2.0,5.1313,10.263
214,11,DOBRADICA ENCART MERKEL POLIDA 3.1/2 FP,2.0,22.2906,44.581
214,441,FECHO P/ PORTAO REDON 3  ZINCADO SILVANA,2.0,7.954,15.908
215,1330,SERRA CIRCULAR 110MMX24DTSX20MM - KALA,1.0,24.056,24.056
216,374,PISTOLA P/PINTURA MOD.90 AR DIRETO 500ML,1.0,82.0,82.0
217,635,CAL HIDRATADA CH III 20 KG,60.0,18.89,1133.4
218,76,ROLO DE PINTURA RESIMAX LA SINTETICA 9CM,2.0,15.5,31.0
220,114,ATLAS ASSENTO SANIT ALMOF QUADPLAST BRANCO,1.0,118.321,118.321
220,735,VASSOURA JARDIM PLAST 22D C/CB VAP,1.0,26.219,26.219
221,565,REGULADOR GAS ALIANCA 505/01 BT USO DOMS,1.0,38.509,38.509
221,966,SIFAO SANFONADO UNIVERSAL BR - HERC,1.0,5.063,5.063
221,1963,"ABRAC RSF INCA 1/2X3/4 (13X19) 9,5MM",2.0,2.9,5.8
222,939,PARAF MAD PHIL CHATA CHIP 5;0X50MM % - CISER,2.0,0.55,1.1
222,630,BUCHA PLAST FIXACAO C/ANEL N. 06,4.0,0.0625,0.25
222,935,PARAF MAD PHIL CHATA CHIP 4;0X40MM % - CISER,2.0,0.3,0.6
222,631,BUCHA PLAST FIXACAO C/ANEL N. 10,5.0,0.2,1.0
222,214,BUCHA PLAST 08MM C/ ANEL,2.0,0.125,0.25
222,146,SILICONE USO GERAL TRANSP 50G UNIPEGA,1.0,8.8,8.8
223,722,CIMENTO ITAU 50KG,2.0,45.9,91.8
223,763,AREIA MEDIA,1.0,70.965,70.965
223,761,PEDRISCO N 00,1.0,145.015,145.015
223,635,CAL HIDRATADA CH III 20 KG,1.0,18.89,18.89
223,1335,"TRELICA TG8L 6/4,2/4,2MM 12M",1.0,106.603,106.603
224,1077,AVANT LAMPADA PERA BRANCA 9W-BIV,6.0,7.0,42.0
224,558,SOQUETE COM RABICHO PRETO MELFI,6.0,4.1667,25.0
224,1641,TUBOZAN CAIXA SIF QUAD 100 X 100 X 50,1.0,26.0,26.0
224,26,REGISTRO ESFERA SOLDAVEL 25MM VIQUA,1.0,9.5,9.5
224,503,ENGATE FLEX PLAST KRONA 60CM,1.0,13.5,13.5
224,1189,AMANCO CX LUZ 4X2 ELETRODUTO FLEX CB,8.0,3.125,25.0
224,418,CONJ BR LEV MODULAR 2 TOM 20A 3P 87121,1.0,22.0,22.0
224,417,CONJ BR LEV MODULAR 2 TOM 10A 3P 87120,2.0,20.0,40.0
230,1329,SERRA CIRCULAR 110MMX20MM 72 DENTES - KALA,1.0,10.0,10.0
232,59,FITA CREPE USO GERAL 48MM X 50M ADERE,1.0,15.559,15.559
232,888,MAXNORTH MASSA P.V.A. 20 KG CX,1.0,33.0,33.0
235,342,LIXA FERRO 60,1.0,3.5,3.5
236,1960,KRONA TORN JARDIM PLAST 1/2 3/4 PRETA,1.0,4.5,4.5
236,300,FITA VEDA ROSCA 18MMX10M,1.0,2.0,2.0
237,59,FITA CREPE USO GERAL 48MM X 50M ADERE,2.0,15.559,31.118
238,722,CIMENTO ITAU 50KG,10.0,45.9,459.0
238,1058,AMANCO TUBO SOLD PB 25X6M,1.0,34.668,34.668
238,761,PEDRISCO N 00,2.0,145.015,290.03
239,1497,TUBOZAN TUBO ESGOTO 50 SN 6M,1.0,65.718,65.718
240,722,CIMENTO ITAU 50KG,1.0,45.9,45.9
242,1959,FIXADOR PARA CAL,2.0,3.812,7.624
242,636,CAL PINTURA 8 KG,2.0,14.511,29.022
244,450,CORALAR ACRILICO 18L BRANCO,1.0,228.0,228.0
244,59,FITA CREPE USO GERAL 48MM X 50M ADERE,1.0,16.0,16.0
244,85,TRINCHA PARA PINTURA 396 2,1.0,9.0,9.0
246,11,DOBRADICA ENCART MERKEL POLIDA 3.1/2 FP,1.0,22.5,22.5
247,225,CAIXA DE LUZ 4X2 TRAMONTINA AM,11.0,2.5026,27.529
